"","Year","noDisc","noPS","noLL","noDisc_p","noPS_p","noDLL_p"
"42",42,0,29963,106663,0,29822.8630055773,106164.136994423
"43",43,0,28874,106624,0,28762.1249169729,106210.875083027
"44",44,0,27895,106797,0,27779.0228075907,106352.977192409
"45",45,0,27069,108909,0,26952.9427922164,108442.057207784
"46",46,0,26304,115638,0,26203.7445153654,115197.255484635
"47",47,0,25624,122408,0,25525.5074038046,121937.492596195
"48",48,0,24963,129847,0,24859.8004650862,129310.199534914
"49",49,0,24167,138356,0,24068.4125939098,137791.58740609
"50",50,0,23130,147555,0,23040.2905351964,146982.709464804
"51",51,0,21919,153839,0,21833.9469270247,153242.053072975
"52",52,0,20703,158799,0,20625.0330247017,158200.966975298
"53",53,0,19435,162286,0,19364.3062717022,161695.693728298
"54",54,0,18039,165901,0,17978.3927258889,165343.607274111
"55",55,0,16816,164172,0,16759.6022719738,163621.397728026
"56",56,0,15667,159591,0,15612.559101439,159036.440898561
"57",57,0,14388,156863,0,14340.8664474952,156349.133552505
"58",58,0,13168,154349,0,13131.211948638,153917.788051362
"59",59,0,12104,148311,0,12069.8946607237,147893.105339276
"60",60,0,11213,143858,0,11185.2334156612,143501.766584339
"61",61,0,10348,140778,0,10325.335547821,140469.664452179
"62",62,0,9775,138533,0,9757.53381476387,138285.466185236
"63",63,0,9299,136247,0,9282.13292017644,135999.867079824
"64",64,0,9361,136377,0,9346.997488644,136173.002511356
"65",65,0,9209,139980,0,9196.96322114901,139797.036778851
"66",66,0,9292,143997,0,9280.54328751574,143819.456712484
"67",67,0,9503,146567,0,9489.54345486,146359.45654514
"68",68,0,9633,150461,0,9616.99454070733,150211.005459293
"69",69,0,9952,154067,0,9935.73885952237,153815.261140478
"70",70,0,9981,157477,0,9962.82108349556,157190.178916504
"71",71,0,10018,157220,0,9996.07562874466,156875.924371255
"72",72,0,10222,155784,0,10198.1084780068,155419.891521993
"73",73,0,11435,154952,0,11421.1174851401,154763.88251486
"74",74,0,11491,155911,0,11473.8392133905,155678.160786609
"75",75,0,11512,153774,0,11489.3640840725,153471.635915928
"76",76,0,11687,149957,0,11660.1763814308,149612.823618569
"77",77,2,12789,146430,1.99685971071655,12768.919420177,146200.083720112
"78",78,3,12910,148357,2.99408445464128,12884.543436473,148064.462479072
"79",79,8,13704,144607,7.98226365755216,13673.6176453868,144286.400090956
"80",80,22,15448,140243,21.9542234752397,15415.8565566138,139951.189219911
"81",81,70,18562,137352,69.8370986767874,18518.8032234075,137032.359677916
"82",82,133,21395,134524,132.383801553328,21295.8754453644,133900.740753082
"83",83,236,25425,130075,234.531591924796,25266.8039181692,129265.664489906
"84",84,414,29996,127944,410.088864190358,29712.6221503719,126735.288985438
"85",85,680,35200,126144,670.905297980546,34729.2154248753,124456.879277144
"86",86,1044,40852,123951,1025.34803764916,40122.1437107696,121736.508251581
"87",87,1500,47278,119751,1467.25489381649,46245.9179132375,117136.827192946
"88",88,2111,54572,115763,2054.60334829454,53114.0757570486,112670.320894657
"89",89,2919,63271,113193,2822.42303897248,61177.6389512942,109447.938009733
"90",90,3879,73233,110129,3724.9098060788,70323.8772437661,105754.212950155
"91",91,4997,85188,106155,4768.73223489865,81296.5302434552,101305.737521646
"92",92,6314,99014,103186,5987.32921530449,93891.2598866263,97847.4108980692
"93",93,7870,114813,102125,7419.06644781325,108234.46964076,96273.4639114266
"94",94,9593,130313,102572,8988.36857364379,122099.580312441,96107.0511139155
"95",95,11407,145576,102002,10631.7195242968,135681.879676429,95069.4007992741
"96",96,13311,160094,101680,12351.3557009652,148552.170354618,94349.4739444172
"97",97,15220,173235,100759,14067.9249275623,160122.008858492,93132.0662139454
"98",98,17075,185157,99207,15734.2138044513,170617.852145874,91416.9340496751
"99",99,18798,195461,96972,17274.6197583146,179620.941194804,89113.4390468816
"100",100,20422,203063,94643,18709.2964341397,186032.996856611,86705.7067092491
"101",101,21945,208235,93192,20060.8511559442,190356.406491595,85190.7423524609
"102",102,23291,213991,92052,21278.9728482331,195505.074009972,84099.9531417953
"103",103,24587,221121,90161,22438.824625077,201801.575626211,82283.5997487116
"104",104,25883,230083,88518,23590.9144517597,209707.853409737,80679.2321385028
"105",105,27284,240215,88806,24823.4205189374,218551.457262738,80797.1222183242
"106",106,28479,252187,91646,25919.9502111133,229526.12394712,83410.9258417671
"107",107,29446,265460,93509,26795.9623443997,241569.522649743,85093.5150058571
"108",108,29965,276291,96708,27291.630381374,251641.3098515,88080.0597671256
"109",109,29974,283691,100191,27346.089287095,258818.956960875,91406.9537520297
"110",110,29384,287210,105693,26912.5506965642,263053.147480268,96803.3018231677
"111",111,28492,288156,109441,26187.5722771534,264849.995686347,100589.432036499
"112",112,27290.4,287758.4,113664.4,25204.4514928861,265763.515172754,104976.43333436
"113",113,26048.7,286108.7,117651.7,24151.9123717716,265275.128939313,109084.658688916
"114",114,24940.9,283976.9,118936.9,23164.7846647705,263754.064138386,110467.051196843
"115",115,23876.9,281523.9,118661.9,22198.0052780167,261728.65900045,110318.235721534
"116",116,22751.4,278403.4,118918.4,21190.0160309203,259297.120575557,110757.263393523
"117",117,21582.6,275366.1,119029.1,20155.3380917443,257156.08149644,111157.680411815
"118",118,20584.4,272250.7,117960.7,19242.7874907192,254506.440037094,110272.472472187
"119",119,19745,270325,115752,18460.5255259695,252739.506852758,108221.967621272
"120",120,19102.3,269741.5,112742.5,17837.9757102023,251888.114260247,105280.41002955
"121",121,18366.9,271631.4,110695.4,17174.875407225,254002.333093233,103511.191499542
"122",122,17868.7,273444.9,107896.9,16680.0688148984,255255.264741308,100719.566443793
"123",123,17395.7,275462.7,105234.7,16211.6969369477,256713.889629813,98072.1134332396
"124",124,16939.1,277196.1,103369.1,15767.0036646396,258015.592594873,96216.5037404879
"125",125,16497.5,279283.5,100963.5,15341.3491522882,259711.209939268,93887.9409084436
"126",126,16081.9,280792.9,98915.9,14944.8122535724,260939.14106145,91921.9466849777
"127",127,15707.1,282740.1,96710.1,14591.8151419954,262664.099192676,89843.1856653287
"128",128,15442.1,285365.1,94368.1,14332.9034056784,264867.499475574,87589.697118747
"129",129,15243.2,289836.2,92449.2,14142.3021796168,268903.58474545,85772.3130749335
"130",130,15154.9,295534.9,90504.9,14047.6257695079,273942.004040208,83892.2701902842
"131",131,15094.8,302588.8,87844.8,13982.8657372455,280299.080742656,81373.8535200987
"132",132,15058.7,308142.7,85405.7,13935.1621278485,285152.004025114,79033.5338470379
"133",133,14942.3,312636.3,84614.3,13833.8754488251,289444.840150546,78337.5844006289
"134",134,14833,317998,82220,13736.3505810129,294487.427496862,76141.2219221252
"135",135,14745,325502,79348,13661.5669395489,301584.765137811,73517.6679226397
"136",136,14711,333479,77833,13637.4312255442,309142.609453011,72152.9593214451
"137",137,14713,341555,76508,13641.8967549032,316689.869239514,70938.2340055826
"138",138,14680,349665,75347,13618.3599428691,324377.645056085,69897.9950010462
"139",139,14573,357131,73909,13530.387210427,331580.368822274,68621.243967299
"140",140,14387,362113,73561,13373.1736409065,336595.539489091,68377.2868700021
"141",141,14096,364510,74482,13123.7826823928,339369.326444311,69344.8908732961
"142",142,13748,363644,74836,12812.4521082286,338898.118595045,69743.4292967264
"143",143,13317,360618,74075,12421.2139416531,336360.541353988,69092.2447043593
"144",144,12795,355125,74437,11950.8065770407,331694.426390901,69525.7670320578
"145",145,12200.4,348160.4,76118.4,11418.6483217528,325851.707088356,71241.0445898911
"146",146,11622.5,341535.2,75695.2,10892.5056983409,320083.812620691,70940.881680968
"147",147,11075.8,335716.1,73774.1,10388.4470698535,314881.898855851,69195.7540742951
"148",148,10515.1,330115.2,73698.2,9877.19989650723,310088.712354183,69227.28774931
"149",149,9956,325043.8,74296.8,9370.77790726823,305937.450776869,69929.5713158624
"150",150,9455.7,321186.3,73157.3,8912.82760497603,302746.292815986,68957.1795790384
"151",151,9007.8,318704.8,70888.8,8499.50062553719,300720.6695266,66888.629847863
"152",152,8578.7,317029.9,69866.9,8106.68825585908,299586.483626445,66022.7281176963
"153",153,8129.60000000001,316675,71294,7706.05065304448,300176.342077452,67579.6072695031
"154",154,7849.5,318345.2,70990.2,7443.32036263211,301872.133193986,67316.7464433819
"155",155,7615.20000000001,321763.1,69880.1,7221.25305897134,305117.760549834,66265.0863911943
"156",156,7399.29999999999,324266.4,69557.4,7016.710717354,307499.834329978,65960.8549526685
"157",157,7160.79999999999,325433.4,70299.4,6794.75271565494,308797.826837061,66705.8204472843
"158",158,6930.09999999999,325101.4,70402.4,6576.57240714561,308516.889621277,66810.9379715774
"159",159,6707.2,324234.4,68909.4,6361.53977276535,307524.754189336,65358.1060378991
"160",160,6463.10000000001,322105.6,68629.6,6132.5936804362,305633.947640159,65120.0586794052
"161",161,6190.90000000001,320177.1,70223.1,5886.03113884806,304410.082628707,66764.9862324445
"162",162,5988.5,319858.2,69927.2,5693.13006289702,304081.879316044,66478.1906210591
"163",163,5798.10000000001,321145.8,69957.8,5512.25883859908,305313.598338934,66508.9428224671
"164",164,5607.60000000001,322444.8,71293.8,5333.36911101195,306676.142436412,67807.2884525757
"165",165,5402,323938,73448,5142.29929392137,308364.707270326,69916.9934357528
"166",166,5219,323930,75149,4965.43253985921,308191.715393101,71497.8520670397
"167",167,5037,323531,74807,4786.47051502944,307439.267857453,71086.2616275178
"168",168,4826,321308,75965,4584.44735749156,305225.779432428,72162.7732100801
"169",169,4588,318719,78105,4361.45284146961,302981.231076799,74248.3160817315
"170",170,4389,315803,78068,4167.51121880179,299866.152980465,74128.3358007332
"171",171,4188,312943,76296,3972.01451857651,296803.758234692,72361.2272467319
"172",172,3985.60000000001,310504.6,75756.6,3777.5892941595,294299.190271797,71802.8204340433
